date	close	close2
015102	279.685281398	279.649970975
015103	281.331023168	281.314153359
015104	284.724283553	284.717851071
015105	289.346962448	289.335263373
015106	293.057744359	293.036883389
015107	296.033180877	296.030974438
015108	297.294038269	297.320160213
015109	296.704084702	296.727861053
015110	294.120239585	294.132876031
015111	289.937506993	289.94960036
015112	284.831800877	284.839420931
015201	280.739873512	280.768103621
015202	280.032559793	280.083891171
015203	281.614721968	281.679336813
015204	284.590938721	284.686931175
015205	289.082405118	289.182325989
015206	292.850658567	292.965008495
015207	295.83417545	295.975430637
015208	297.065560493	297.213780072
015209	296.47108028	296.612113988
015210	294.068993734	294.183709043
015211	289.796974687	289.876826799
015212	284.383194883	284.430139065
015301	280.49140825	280.541721613
015302	279.908644252	279.983221645
015303	281.617450639	281.719192303
015304	284.461646424	284.585861654
015305	289.060200725	289.186451035
015306	292.742934503	292.876313368
015307	295.707613374	295.85868882
015308	296.937612079	297.095876725
015309	296.393795962	296.535753204
015310	293.926552444	294.026786936
015311	289.794258483	289.858471869
015312	284.627225232	284.662475902
015401	280.548955218	280.585399275
015402	279.518098065	279.578406723
015403	281.073966227	281.158708634
015404	284.112775617	284.214872673
015405	288.986705767	289.095449909
015406	292.782227608	292.893940916
015407	295.642110531	295.782561722
015408	296.874600284	297.026897636
015409	296.47631361	296.612739149
015410	293.925374362	294.015210214
015411	289.979264978	290.043497678
015412	285.073802692	285.106770017
015501	280.97120611	281.001987016
015502	279.837070696	279.897936423
015503	280.896536769	280.979646289
015504	284.290398126	284.40244623
015505	288.964296153	289.077323117
015506	292.888885707	293.018759365
015507	295.843940016	296.00033102
015508	297.026742203	297.188190694
015509	296.448947443	296.593722953
015510	294.052672902	294.15736201
015511	289.960782722	290.029814354
015512	284.959898939	284.994886942
015601	281.027238106	281.060346623
015602	279.821218077	279.887448933
015603	281.082073492	281.164448785
015604	284.481910175	284.597728365
015605	289.531142798	289.664430338
015606	293.128077451	293.260158624
015607	295.970866096	296.130659598
015608	297.048355872	297.218425285
015609	296.533887945	296.683426753
015610	293.991075284	294.09327825
015611	290.027039229	290.099243134
015612	284.528325422	284.562245258
015701	280.988407005	281.025194767
015702	279.504856064	279.577938954
015703	280.969759936	281.050913019
015704	284.383477073	284.49899016
015705	288.950604096	289.083671731
015706	292.68978035	292.833407119
015707	295.57591604	295.749594845
015708	296.903995576	297.084172173
015709	296.344310182	296.505554531
015710	293.990495658	294.109013275
015711	290.047923187	290.128713847
015712	284.420675908	284.458693268
015801	280.589313837	280.633992908
015802	279.822042103	279.895034623
015803	281.22009506	281.321880732
015804	284.038747381	284.167563344
015805	288.904722301	289.04621062
015806	292.822733822	292.980341585
015807	295.778904652	295.96086998
015808	296.97044669	297.15750453
015809	296.356250203	296.522928045
015810	294.128677262	294.258420981
015811	289.979464173	290.063621472
015812	284.64124747	284.675823827
015901	280.802840534	280.837963154
015902	279.477914509	279.552916666
015903	281.16928201	281.262023642
015904	284.238666085	284.366183296
015905	288.822393979	288.960646925
015906	292.709797428	292.869065244
015907	295.647416048	295.833715543
015908	296.919912878	297.111246107
015909	296.511089018	296.693054025
015910	294.075775688	294.208852303
015911	290.032059024	290.118043777
015912	284.901800677	284.94272
016001	280.765023124	280.797183975
016002	279.820997263	279.89035992
016003	281.287265127	281.378152037
016004	284.370464365	284.50218152
016005	289.214386411	289.366812577
016006	292.892565132	293.058205114
016007	295.761702485	295.957159101
016008	297.077435764	297.277285094
016009	296.500170729	296.675466042
016010	293.992898106	294.118198148
016011	289.868532273	289.953749037
016012	284.427160329	284.464175427
016101	280.584276713	280.621756798
016102	279.564354596	279.632325424
016103	280.971362762	281.059240881
016104	284.152267524	284.28246055
016105	289.035614054	289.184863506
016106	292.815569547	292.982328508
016107	295.781213812	295.982203035
016108	296.98407978	297.19305881
016109	296.433563406	296.620270599
016110	293.947290521	294.07442621
016111	289.957001066	290.039201324
016112	284.829115031	284.865870855
016201	280.936248338	280.972975314
016202	279.822996171	279.886729678
016203	281.390480803	281.482951624
016204	284.131438207	284.263402123
016205	289.076096278	289.229670067
016206	292.950356451	293.11885441
016207	295.812130932	296.010558253
016208	296.78489187	296.985878901
016209	296.210374166	296.391305811
016210	293.857068449	293.986994154
016211	289.72012342	289.802847888
016212	284.701575993	284.736482348
016301	280.825734902	280.856203982
016302	279.798584919	279.861960332
016303	280.975874516	281.067289068
016304	284.239076957	284.373099267
016305	289.089609897	289.245121291
016306	292.664138662	292.834137426
016307	295.599324304	295.800883931
016308	296.957749767	297.168192471
016309	296.493598624	296.68532091
016310	294.00629886	294.143717823
016311	289.897207597	289.986761253
016312	284.999132884	285.042988015
016401	281.301167274	281.334862967
016402	280.342772664	280.412197175
016403	281.565163942	281.663971535
016404	284.583353872	284.715120602
016405	289.144581914	289.293835377
016406	292.962031344	293.145590755
016407	295.880891571	296.098031767
016408	297.047855355	297.270888301
016409	296.499555618	296.696131931
016410	294.037189711	294.183235394
016411	290.05503289	290.151512546
016412	284.610675078	284.652257782
016501	280.792363335	280.824593331
016502	279.792417808	279.867987617
016503	281.484502137	281.59229562
016504	284.48821231	284.622172339
016505	289.343550713	289.511886353
016506	293.062319265	293.241031939
016507	295.830800244	296.040768101
016508	297.092928555	297.311262697
016509	296.50744806	296.700287854
016510	294.017970218	294.160396825
016511	289.898368397	289.992900145
016512	284.955279574	284.997568096
016601	280.950063958	280.989589043
